"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2909","Успешное создание заказа авторизованным пользователем","tests.orders","Tue Jul 01 18:21:18 GMT+05:00 2025","passed","Tue Jul 01 18:21:21 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
"","481","Попытка регистрации пользователя без заполнения обязательных полей","tests.users","Tue Jul 01 18:21:55 GMT+05:00 2025","passed","Tue Jul 01 18:21:55 GMT+05:00 2025","TestRegisterUser","test_register_user","",""
"","489","Попытка регистрации пользователя без заполнения обязательных полей","tests.users","Tue Jul 01 18:21:54 GMT+05:00 2025","passed","Tue Jul 01 18:21:54 GMT+05:00 2025","TestRegisterUser","test_register_user","",""
"","501","Успешное изменение email, пароля и имени авторизованного пользователя ","tests.users","Tue Jul 01 18:21:41 GMT+05:00 2025","passed","Tue Jul 01 18:21:41 GMT+05:00 2025","TestChangeUserData","test_change_user_data","",""
"","481","Попытка создания заказа с невалидными id ингредиентов","tests.orders","Tue Jul 01 18:21:30 GMT+05:00 2025","passed","Tue Jul 01 18:21:30 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
"","496","Успешное изменение email, пароля и имени авторизованного пользователя ","tests.users","Tue Jul 01 18:21:38 GMT+05:00 2025","passed","Tue Jul 01 18:21:39 GMT+05:00 2025","TestChangeUserData","test_change_user_data","",""
"","830","Успешное получение заказа авторизованного пользователя","tests.orders","Tue Jul 01 18:21:35 GMT+05:00 2025","passed","Tue Jul 01 18:21:36 GMT+05:00 2025","TestGetUserOrders","test_get_user_orders","",""
"","593","Успешное создание заказа неавторизованным пользователем","tests.orders","Tue Jul 01 18:21:22 GMT+05:00 2025","passed","Tue Jul 01 18:21:22 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
"","805","Попытка регистрации с невалидным логином и паролем","tests.users","Tue Jul 01 18:21:50 GMT+05:00 2025","passed","Tue Jul 01 18:21:51 GMT+05:00 2025","TestLoginUser","test_login_user","",""
"","446","Попытка регистрации пользователя без заполнения обязательных полей","tests.users","Tue Jul 01 18:21:54 GMT+05:00 2025","passed","Tue Jul 01 18:21:55 GMT+05:00 2025","TestRegisterUser","test_register_user","",""
"","499","Попытка изменения email, пароля и имени пользователя неавторзованного пользователя","tests.users","Tue Jul 01 18:21:46 GMT+05:00 2025","passed","Tue Jul 01 18:21:46 GMT+05:00 2025","TestChangeUserData","test_change_user_data","",""
"","483","Попытка получить список заказов неавторизованного пользователя","tests.orders","Tue Jul 01 18:21:37 GMT+05:00 2025","passed","Tue Jul 01 18:21:37 GMT+05:00 2025","TestGetUserOrders","test_get_user_orders","",""
"","623","Успешная регистрация пользователя","tests.users","Tue Jul 01 18:21:51 GMT+05:00 2025","passed","Tue Jul 01 18:21:52 GMT+05:00 2025","TestRegisterUser","test_register_user","",""
"","539","Попытка создания заказа с пустым телом ответа и пустым списком ingredients","tests.orders","Tue Jul 01 18:21:27 GMT+05:00 2025","passed","Tue Jul 01 18:21:28 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
"","1528","Попытка создания заказа с пустым телом ответа и пустым списком ingredients","tests.orders","Tue Jul 01 18:21:23 GMT+05:00 2025","passed","Tue Jul 01 18:21:25 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
"","553","Успешная авторизация зарегистрированного пользователя","tests.users","Tue Jul 01 18:21:47 GMT+05:00 2025","passed","Tue Jul 01 18:21:47 GMT+05:00 2025","TestLoginUser","test_login_user","",""
"","531","Попытка регистрации уже зарегистрированного пользователя","tests.users","Tue Jul 01 18:21:53 GMT+05:00 2025","passed","Tue Jul 01 18:21:53 GMT+05:00 2025","TestRegisterUser","test_register_user","",""
"","463","Попытка изменения email, пароля и имени пользователя неавторзованного пользователя","tests.users","Tue Jul 01 18:21:45 GMT+05:00 2025","passed","Tue Jul 01 18:21:46 GMT+05:00 2025","TestChangeUserData","test_change_user_data","",""
"","497","Попытка изменения email, пароля и имени пользователя неавторзованного пользователя","tests.users","Tue Jul 01 18:21:45 GMT+05:00 2025","passed","Tue Jul 01 18:21:45 GMT+05:00 2025","TestChangeUserData","test_change_user_data","",""
"","585","Успешное изменение email, пароля и имени авторизованного пользователя ","tests.users","Tue Jul 01 18:21:43 GMT+05:00 2025","passed","Tue Jul 01 18:21:44 GMT+05:00 2025","TestChangeUserData","test_change_user_data","",""
